genre, artis, judul, tahun, link, harga
Kpop, BTS, ost, 2016, https://www.youtube.com/watch?v=-YIj6H4ShQA, 8000
Kpop, BTS, Begin, 2016, https://www.youtube.com/watch?v=-YIj6H4ShQA, 8000
Kpop, BLACKPINK, laying With Fire, 2017, https://www.youtube.com/watch?v=9pdj4iJD08s, 9000
Kpop, BLACKPINK, Boombayah, 2017, https://www.youtube.com/watch?v=bwmSjveL3Lc, 9000
Kpop, BLACKPINK, Stay, 2017, https://www.youtube.com/watch?v=FzVR_fymZw4, 9000
Kpop, BLACKPINK,  venom, 2017, https://www.youtube.com/watch?v=gQlMMD8auMs, 9000
Kpop, BLACKPINK, Whistle, 2017, https://www.youtube.com/watch?v=dISNgvVpWlo, 9000
Kpop, BLACKPINK, REALLY, 2017, https://www.youtube.com/watch?v=He322O1JWgU, 9000
Kpop, BLACKPINK, SEE U LATER, 2018, https://www.youtube.com/watch?v=fpimnj4SNjQ, 9000
Kpop, BLACKPINK, KICK IT, 2018, https://www.youtube.com/watch?v=-gZC9hC1PDQ, 9000
Kpop, BLACKPINK, HOPE NOT, 2018, https://www.youtube.com/watch?v=l6zMnMMzsss, 9000
Kpop, BLACKPINK, FOREVER YOUNG, 2019, https://www.youtube.com/watch?v=-gibBYpzZbI, 9000
Kpop, BLACKPINK, Tally, 2022, https://www.youtube.com/watch?v=VQo4hyWfBQ4, 9000
Kpop, BLACKPINK, Shut Down, 2022, https://www.youtube.com/watch?v=NpVJidAKOqc, 9000
Kpop, BLACKPINK, Ready For Love, 2022, https://www.youtube.com/watch?v=-Wduzor_Y1Q, 9000
Kpop, BLACKPINK, The Happiest Girl, 2022, https://www.youtube.com/watch?v=kVXazE8wR1Q, 9000
Kpop, BLACKPINK, ice cream, 2020, https://www.youtube.com/watch?v=vRXZj0DzXIA, 9000
Kpop, BLACKPINK, Hard To Love, 2022, https://www.youtube.com/watch?v=7Hr3p1BHC_E, 9000
Kpop, BLACKPINK, Typa girl, 2022, https://www.youtube.com/watch?v=z9tifvQSu-g, 9000
Kpop, BLACKPINK, Yeah Yeah Yeah, 2022, https://www.youtube.com/watch?v=wQTjv-Xo1gY, 9000
Kpop, EXO, Gravity, 2018, https://www.youtube.com/watch?v=prFir9hRSxU&pp=ygULZ3Jhdml0eSBleG8%3D, 5000
Kpop, EXO, Sign, 2018, https://www.youtube.com/watch?v=ig1D5DVP5MY, 5000
Kpop, EXO, Damage, 2018, https://www.youtube.com/watch?v=hPSw9NHc-dk, 5000
Kpop, EXO, ooh la la, 2018, https://www.youtube.com/watch?v=7XVPxbZ_C9Q, 5000
Kpop, EXO, Smile On Face, 2018, https://www.youtube.com/watch?v=ghMmJgAos3Q, 5000
Kpop, EXO, Touch It, 2017, https://www.youtube.com/watch?v=yiHe_eWOUfM, 5000
Kpop, EXO, The Eve, 2017, https://www.youtube.com/watch?v=b6ycw7p9-bE, 5000
Kpop, EXO, Chill, 2017, https://www.youtube.com/watch?v=KD9k2kYr6gY, 5000
Kpop, EXO, Going Crazy, 2017, https://www.youtube.com/watch?v=ush0XGzx-oQ, 5000
Kpop, EXO, Diamond, 2017, https://www.youtube.com/watch?v=9BwLMq7Wn2I, 5000
Kpop, EXO, Forever, 2017, https://www.youtube.com/watch?v=A_V7VGgi5b0, 5000
Kpop, EXO, Walk on Memories, 2017, https://www.youtube.com/watch?v=rUbOiD192iU, 5000
Kpop, EXO, What U Do?, 2017, https://www.youtube.com/watch?v=FMPzSr8Qlts, 5000
Kpop, EXO, XOXO, 2013, https://www.youtube.com/watch?v=6UmIrGfY1k8, 5000
Kpop, EXO, Baby dont cry, 2013, https://www.youtube.com/watch?v=-poEUTl0wHE, 5000
Kpop, EXO, Dont go, 2013, https://www.youtube.com/watch?v=9nkIxVcBHCQ, 5000
Kpop, EXO, Lucky, 2013, https://www.youtube.com/watch?v=lsrVF1J4emc, 5000
Kpop, EXO, No Matter, 2021, https://www.youtube.com/watch?v=SsWnx3OeNZs, 5000
Kpop, EXO, Paradise', 2021, https://www.youtube.com/watch?v=YFrjy7uAS48, 5000
